tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,tt9,tt10,tt11,tt12,tt13,tt14,tt15,tt16,tt17,tt18,tt19,tt20,tt21,tt22,tt23,tt24,tt25,tt26,tt27,tt28,tt29,tt30,tt31,tt32,tt33,tt34,tt35,tt36,tt37,tt38,tt39,tt40,tt41,tt42,tt43,tt44,tt45,tt46,tt47,tt48,tt49,tt50,tt51,tt52,tt53,tt54,tt55,tt56,tt57,tt58,tt59,tt60,tt61,tt62,tt63,tt64,tt65,tt66,tt67,tt68,tt69,tt70,tt71,tt72,tt73,tt74,tt75,tt76,tt77,tt78,tt79,tt80,tt81,tt82,tt83,tt84,tt85,tt86,tt87,tt88,tt89,tt90,tt91,tt92,tt93,tt94,tt95,tt96,tt97,tt98,tt99,tt100,tt101,tt102,tt103,tt104,tt105,tt106,tt107,tt108,tt109,tt110,tt111,tt112,tt113,tt114,tt115,tt116,tt117,tt118,tt119,tt120,tt121,tt122,tt123,tt124,tt125,tt126,tt127,tt128,tt129,tt130,tt131,tt132,tt133,tt134,tt135,tt136,tt137,tt138,tt139,tt140,tt141,tt142,tt143,tt144,tt145,tt146,tt147,tt148,tt149,tt150,tt151,tt152,tt153,tt154,tt155,tt156,tt157,tt158,tt159,tt160,tt161,tt162,tt163,tt164,tt165,tt166,tt167,tt168,tt169,tt170,tt171,tt172,tt173,tt174,tt175,tt176,tt177,tt178,tt179,tt180,tt181,tt182,tt183,tt184,tt185,tt186,tt187,tt188,tt189,tt190,tt191,tt192,tt193,tt194,tt195,tt196,tt197,tt198,tt199,tt200,tt201,tt202,tt203,tt204,tt205,tt206,tt207,tt208,tt209,tt210,tt211
'org.eclipse.jdt.junit','org.eclipse.jdt.internal.junit.launcher',5,0,0.571428571,4,4,5.980769231,29,311,9.230769231,55,480,1.826923077,6,95,7,1.25,8,10,0,0,0,6.375,18,51,1,1,7,0.5,3,4,0.125,1,1,1.173076923,4,61,112,277,784,2.576923077,11,134,4,8,9,7,28,0,42,146,10,0,20,18,3,46,7,0,0,0,0,0,156,0,14,2,55,163,63,0,42,0,56,312,50,35,7,16,2,3,40,777,52,2349,294,83,49,2,0,6,0,0,0,0,1,14,8,0,2,2,105,89,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,5296,7.55E-04,0.001510574,0.001699396,0.001321752,0.005287009,0,0.007930514,0.027567976,0.001888218,0,0.003776435,0.003398792,5.66E-04,0.008685801,0.001321752,0,0,0,0,0,0.029456193,0,0.002643505,3.78E-04,0.010385196,0.030777946,0.01189577,0,0.007930514,0,0.010574018,0.058912387,0.009441088,0.006608761,0.001321752,0.003021148,3.78E-04,5.66E-04,0.00755287,0.146714502,0.009818731,0.443542296,0.055513595,0.015672205,0.009252266,3.78E-04,0,0.001132931,0,0,0,0,1.89E-04,0.002643505,0.001510574,0,3.78E-04,3.78E-04,0.019826284,0.016805136,0,0.001321752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017371601
'org.eclipse.jdt.junit','org.eclipse.jdt.internal.junit.runner',2,0,0,0,0,4,22,168,6.666666667,32,280,1.357142857,6,57,3,2.6,11,13,0.333333333,1,1,8.2,29,41,0.666666667,1,2,4,16,20,0.2,1,1,1.095238095,4,46,140,386,420,2.333333333,15,98,0,17,6,3,16,0,30,89,12,2,8,12,4,17,3,0,0,0,0,0,105,0,33,7,39,19,55,0,58,0,42,168,31,35,3,2,7,6,64,94,17,889,143,58,45,1,0,0,0,0,2,8,2,10,5,0,1,7,73,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2409,0,0.00705687,0.00249066,0.00124533,0.00664176,0,0.0124533,0.03694479,0.00498132,8.30E-04,0.00332088,0.00498132,0.00166044,0.00705687,0.00124533,0,0,0,0,0,0.04358655,0,0.01369863,0.00290577,0.01618929,0.00788709,0.02283105,0,0.02407638,0,0.01743462,0.069738481,0.01286841,0.01452885,0.00124533,8.30E-04,0.00290577,0.00249066,0.02656704,0.03902034,0.00705687,0.369032794,0.059360731,0.02407638,0.01867995,4.15E-04,0,0,0,0,8.30E-04,0.00332088,8.30E-04,0.0041511,0.00207555,0,4.15E-04,0.00290577,0.03030303,0.01369863,8.30E-04,8.30E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051473641
'org.eclipse.jdt.junit','org.eclipse.jdt.internal.junit.ui',9,0,1.238095238,14,26,4.321266968,33,955,7.027149321,83,1553,1.452488688,5,321,21,3.555555556,26,96,0.095238095,1,2,7.518518519,52,203,0.904761905,1,19,1.074074074,11,29,0.666666667,9,18,0.800904977,4,177,116,679,2436,2.045248869,19,452,26,27,18,15,35,0,187,407,43,2,38,21,23,153,21,0,1,0,0,0,632,8,125,20,199,243,263,0,79,0,253,976,124,132,21,37,28,23,274,1239,156,5946,796,216,134,11,0,6,7,1,0,24,1,19,27,0,0,20,372,226,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,14161,0.001836029,0.001906645,0.001271097,0.001059247,0.002471577,0,0.013205282,0.028740908,0.003036509,1.41E-04,0.002683426,0.001482946,0.001624179,0.010804322,0.001482946,0,7.06E-05,0,0,0,0.044629617,5.65E-04,0.00882706,0.00141233,0.01405268,0.017159805,0.018572135,0,0.005578702,0,0.01786597,0.068921686,0.008756444,0.009321376,0.001482946,0.00261281,0.001977261,0.001624179,0.019348916,0.087493821,0.011016171,0.419885601,0.05621072,0.01525316,0.009462609,7.77E-04,0,4.24E-04,4.94E-04,7.06E-05,0,0.001694796,7.06E-05,0.001341713,0.001906645,0,0,0.00141233,0.026269331,0.015959325,3.53E-04,9.18E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034460843
'org.eclipse.jdt.junit','org.eclipse.jdt.internal.junit.util',2,0,0.555555556,4,5,3.752941176,80,319,6.517647059,118,554,1.564705882,6,133,9,2.090909091,12,23,0,0,0,4.818181818,18,53,1,1,9,0.181818182,1,2,2.909090909,9,32,1.517647059,7,129,99.44444444,219,895,2.411764706,32,205,5,18,7,2,30,0,59,187,23,0,27,3,13,35,9,0,1,0,0,0,204,8,25,17,82,115,84,0,56,0,90,321,26,55,9,22,18,22,133,581,62,2466,303,136,50,1,0,4,0,0,0,2,1,3,11,0,0,17,123,81,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,5733,8.72E-04,0.003139717,0.001221001,3.49E-04,0.005232862,0,0.010291296,0.032618175,0.004011861,0,0.004709576,5.23E-04,0.002267574,0.006105006,0.001569859,0,1.74E-04,0,0,0,0.035583464,0.00139543,0.004360719,0.002965289,0.014303157,0.020059306,0.014652015,0,0.00976801,0,0.015698587,0.055991627,0.004535147,0.009593581,0.001569859,0.003837432,0.003139717,0.003837432,0.023199023,0.101343101,0.010814582,0.430141287,0.05285191,0.023722309,0.008721437,1.74E-04,0,6.98E-04,0,0,0,3.49E-04,1.74E-04,5.23E-04,0.001918716,0,0,0.002965289,0.021454736,0.014128728,1.74E-04,0.003663004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028606314
'org.eclipse.jdt.junit','org.eclipse.jdt.internal.junit.wizards',6,0,2,5,18,6.552631579,63,996,10.73684211,75,1632,2.052631579,8,312,9,4.692307692,16,61,0,0,0,11.07692308,36,144,1,1,9,1.846153846,9,24,0.615384615,3,8,0.796052632,4,121,253.4444444,724,2281,2.809210526,21,427,18,57,31,22,76,0,222,422,86,7,24,26,8,162,9,7,1,1,0,0,678,3,85,26,186,227,252,0,71,1,172,997,102,192,9,19,36,33,216,1205,91,5857,722,167,171,7,0,8,4,1,0,1,1,25,13,0,0,26,371,259,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,13763,0.001307854,0.004141539,0.002252416,0.001598489,0.005522052,0,0.016130204,0.03066192,0.006248638,5.09E-04,0.001743806,0.001889123,5.81E-04,0.01177069,6.54E-04,5.09E-04,7.27E-05,7.27E-05,0,0,0.049262515,2.18E-04,0.006175979,0.001889123,0.013514495,0.016493497,0.018309961,0,0.005158759,7.27E-05,0.012497275,0.072440602,0.007411175,0.013950447,6.54E-04,0.001380513,0.002615709,0.002397733,0.015694253,0.087553586,0.006611931,0.425561288,0.052459493,0.012133982,0.012424617,5.09E-04,0,5.81E-04,2.91E-04,7.27E-05,0,7.27E-05,7.27E-05,0.001816464,9.45E-04,0,0,0.001889123,0.026956332,0.018818572,7.27E-05,0.00101722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024340623
'org.eclipse.pde','org.eclipse.pde.internal',0,0,0,0,0,2.379310345,8,69,3.965517241,19,115,1.448275862,4,42,4,0.5,1,2,0,0,0,4,8,16,1,1,4,1.75,7,7,3.25,13,13,0.724137931,3,21,53.5,110,214,1.620689655,5,47,0,6,3,1,9,0,16,47,1,1,4,3,0,4,4,0,0,0,0,0,37,1,9,3,12,8,18,0,3,0,29,69,13,11,4,4,1,2,17,60,16,458,80,24,12,4,0,0,0,0,0,2,0,3,4,0,0,3,29,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1124,0,0.005338078,0.002669039,8.90E-04,0.008007117,0,0.014234875,0.041814947,8.90E-04,8.90E-04,0.003558719,0.002669039,0,0.003558719,0.003558719,0,0,0,0,0,0.032918149,8.90E-04,0.008007117,0.002669039,0.010676157,0.007117438,0.016014235,0,0.002669039,0,0.025800712,0.0613879,0.011565836,0.009786477,0.003558719,0.003558719,8.90E-04,0.001779359,0.015124555,0.053380783,0.014234875,0.40747331,0.071174377,0.021352313,0.010676157,0.003558719,0,0,0,0,0,0.001779359,0,0.002669039,0.003558719,0,0,0.002669039,0.025800712,0.014234875,0,0.003558719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613879
'org.eclipse.pde','org.eclipse.pde.internal.builders',0,0,0,0,0,5.207792208,31,401,8.61038961,52,663,1.857142857,4,143,9,0.833333333,2,10,0.111111111,1,1,5.916666667,15,71,0.888888889,1,8,1.5,6,18,0.5,6,6,1.532467532,5,118,107.8888889,314,971,2.818181818,16,217,0,14,3,2,32,0,35,199,45,4,25,18,6,26,9,3,0,2,0,0,195,7,28,16,92,51,97,0,0,0,77,401,44,47,9,11,24,11,100,253,57,2242,363,136,84,3,0,2,4,1,0,7,0,12,12,0,0,16,179,135,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,5311,0,0.002636038,5.65E-04,3.77E-04,0.006025231,0,0.006590096,0.037469403,0.008472981,7.53E-04,0.004707211,0.003389192,0.001129731,0.0048955,0.001694596,5.65E-04,0,3.77E-04,0,0,0.036716249,0.001318019,0.005272077,0.003012615,0.017322538,0.009602711,0.01826398,0,0,0,0.014498211,0.075503672,0.008284692,0.008849558,0.001694596,0.002071173,0.004518923,0.002071173,0.018828846,0.04763698,0.010732442,0.422142723,0.06834871,0.02560723,0.01581623,5.65E-04,0,3.77E-04,7.53E-04,1.88E-04,0,0.001318019,0,0.002259461,0.002259461,0,0,0.003012615,0.033703634,0.025418942,0,0.003200904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029184711
'platform-launcher','org.eclipse.core.launcher',0,0,0,0,0,8.75,19,35,28.75,71,115,2.5,3,10,1,0,0,0,0,0,0,0,0,0,1,1,1,9,9,9,4,4,4,0.25,1,1,140,140,140,8,18,32,0,13,2,0,4,0,14,28,3,0,0,6,0,1,1,1,0,0,0,0,31,0,9,3,15,1,28,0,0,0,4,35,9,23,1,4,3,0,14,22,2,219,21,7,23,0,0,0,0,0,0,0,0,6,1,0,0,3,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,618,0,0.021035599,0.003236246,0,0.006472492,0,0.022653722,0.045307443,0.004854369,0,0,0.009708738,0,0.001618123,0.001618123,0.001618123,0,0,0,0,0.050161812,0,0.014563107,0.004854369,0.024271845,0.001618123,0.045307443,0,0,0,0.006472492,0.056634304,0.014563107,0.037216828,0.001618123,0.006472492,0.004854369,0,0.022653722,0.035598706,0.003236246,0.354368932,0.033980583,0.011326861,0.037216828,0,0,0,0,0,0,0,0,0.009708738,0.001618123,0,0,0.004854369,0.033980583,0.014563107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050161812
'org.eclipse.ui.externaltools','org.eclipse.ui.externaltools.internal.core',19,3,0.214285714,2,3,4.540816327,100,445,8.173469388,132,801,1.428571429,5,140,14,1.5625,9,25,0.142857143,1,2,4.75,18,76,0.857142857,1,12,4.75,31,76,1.375,12,22,1.020408163,7,100,86.07142857,348,1205,2.93877551,52,288,3,11,8,4,27,0,97,218,22,4,17,19,1,56,14,0,2,0,0,0,226,29,101,8,136,68,168,0,108,0,101,446,120,82,14,0,8,11,77,419,88,2835,450,119,103,12,0,0,0,0,0,32,5,16,16,0,1,8,232,123,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,7075,4.24E-04,0.00155477,0.001130742,5.65E-04,0.003816254,0,0.013710247,0.030812721,0.003109541,5.65E-04,0.002402827,0.002685512,1.41E-04,0.007915194,0.001978799,0,2.83E-04,0,0,0,0.031943463,0.00409894,0.014275618,0.001130742,0.019222615,0.009611307,0.023745583,0,0.015265018,0,0.014275618,0.063038869,0.016961131,0.011590106,0.001978799,0,0.001130742,0.00155477,0.010883392,0.059222615,0.012438163,0.400706714,0.06360424,0.016819788,0.014558304,0.001696113,0,0,0,0,0,0.004522968,7.07E-04,0.002261484,0.002261484,0,1.41E-04,0.001130742,0.032791519,0.017385159,9.89E-04,4.24E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056537102
'org.eclipse.ui.externaltools','org.eclipse.ui.externaltools.internal.ui',28,4,1.846153846,15,48,6.32962963,77,1709,9.018518519,146,2435,1.388888889,5,375,26,3.333333333,16,120,0.038461538,1,1,7.194444444,34,259,0.961538462,1,25,1.444444444,15,52,0.277777778,6,10,0.696296296,3,188,133.5,805,3471,2.033333333,27,549,48,50,32,22,81,0,363,472,71,49,96,14,2,345,26,4,0,0,0,0,1116,58,172,19,191,211,284,0,145,0,317,1709,167,257,26,28,17,15,318,1372,164,8696,1257,243,228,18,0,29,47,7,0,49,0,12,36,0,4,19,514,316,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,20384,0.002354788,0.002452904,0.001569859,0.001079278,0.003973705,0,0.017808085,0.023155416,0.003483124,0.002403846,0.004709576,6.87E-04,9.81E-05,0.016925039,0.00127551,1.96E-04,0,0,0,0,0.054748823,0.002845369,0.008437991,9.32E-04,0.009370094,0.010351256,0.013932496,0,0.007113422,0,0.015551413,0.083840267,0.0081927,0.012607928,0.00127551,0.001373626,8.34E-04,7.36E-04,0.015600471,0.067307692,0.008045526,0.426609105,0.061666013,0.011921115,0.011185243,8.83E-04,0,0.001422684,0.00230573,3.43E-04,0,0.002403846,0,5.89E-04,0.001766091,0,1.96E-04,9.32E-04,0.025215856,0.015502355,0,9.32E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030857535
